id,symbol,exchange_short,exchange_long,instrument_short,instrument_long,entry_spread_pct,peak_spread_pct,exit_spread_pct,entry_price_short,entry_price_long,size_usd,entry_fees_pct,exit_fees_pct,net_pnl_pct,net_pnl_usd,gross_pnl_pct,funding_paid_usd,entry_time,exit_time,exit_reason,duration_min
49,SIRENUSDT,Bybit,Binance,PERP,PERP,1.0751,1.188,0.2026,0.5351725069139093,0.5294830021493666,199.26,0.1,0.1,0.6372,1.27,0.8372,0.0,2026-04-04T18:25:32.121518+00:00,2026-04-04T18:27:37.788864+00:00,dynamic_exit,2.1
50,DRIFTUSDT,Gate.io,MEXC,PERP,SPOT,2.3662,5.6461,4.5014,0.035122479369805164,0.034311154277509436,101.84,0.115,0.115,-2.7103,-2.76,-2.4803,0.0,2026-04-04T18:25:32.444400+00:00,2026-04-04T19:33:44.963614+00:00,stop_loss,68.2
51,SIRENUSDT,Bybit,MEXC,PERP,PERP,1.1767,2.0733,0.3755,0.5358625529758277,0.5296330953704907,19.59,0.075,0.075,0.5292,0.1,0.6792,0.0,2026-04-04T18:25:32.775848+00:00,2026-04-04T18:39:52.451661+00:00,dynamic_exit,14.3
52,DRIFTUSDT,Gate.io,MEXC,PERP,PERP,0.9007,2.3652,0.3674,0.035130462899571405,0.03481699785212624,86.43,0.085,0.085,-0.1817,-0.16,-0.0117,0.0,2026-04-04T18:25:33.134459+00:00,2026-04-04T18:31:32.797397+00:00,dynamic_exit,6.0
53,DRIFTUSDT,Gate.io,Binance,PERP,PERP,0.8799,1.3352,0.1699,0.03512231641379411,0.03481612747374921,124.66,0.11,0.11,0.3572,0.45,0.5772,0.0,2026-04-04T18:25:33.468988+00:00,2026-04-04T18:37:53.391527+00:00,dynamic_exit,12.3
54,DRIFTUSDT,Gate.io,BingX,PERP,PERP,0.87,1.452,0.2836,0.035122150677090964,0.03481939731560007,124.66,0.115,0.115,0.1554,0.19,0.3854,0.0,2026-04-04T18:25:33.746520+00:00,2026-04-04T18:37:23.000720+00:00,dynamic_exit,11.8
55,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.0196,1.5431,1.057,0.0523802832722225,0.05185179810199316,174.42,0.11,0.11,-0.3746,-0.65,-0.1546,0.0,2026-04-04T18:25:34.299438+00:00,2026-04-04T20:25:41.772717+00:00,timeout,120.1
56,SIRENUSDT,Bybit,BingX,PERP,PERP,0.7603,1.1395,0.0193,0.5359906036033665,0.5319494833339463,199.26,0.105,0.105,0.36,0.72,0.57,0.0,2026-04-04T18:25:34.566446+00:00,2026-04-04T18:52:29.771866+00:00,convergence,26.9
57,SIRENUSDT,Gate.io,BingX,PERP,PERP,2.1588,3.3666,0.8195,0.5458990727002957,0.534375163245152,27.49,0.115,0.115,0.8581,0.24,1.0881,0.0,2026-04-04T18:25:39.109000+00:00,2026-04-04T18:43:35.320238+00:00,dynamic_exit,17.9
58,DRIFTUSDT,Gate.io,MEXC,PERP,SPOT,2.2832,5.6461,4.4799,0.035116889287892514,0.034333887802261855,142.63,0.115,0.115,-3.3202,-4.74,-3.0902,0.0,2026-04-04T18:25:39.697843+00:00,2026-04-04T19:33:17.715414+00:00,stop_loss,67.6
59,DRIFTUSDT,Gate.io,Binance,PERP,PERP,0.9277,1.3352,0.1699,0.03512860360512488,0.034806028795894235,106.61,0.11,0.11,0.4154,0.44,0.6354,0.0,2026-04-04T18:25:40.218130+00:00,2026-04-04T18:37:53.685284+00:00,dynamic_exit,12.2
60,DRIFTUSDT,Gate.io,BingX,PERP,PERP,0.9551,1.452,0.2836,0.035139141177841136,0.03480682535592888,99.56,0.115,0.115,0.2681,0.27,0.4981,0.0,2026-04-04T18:25:40.497591+00:00,2026-04-04T18:37:23.361212+00:00,dynamic_exit,11.7
61,SIRENUSDT,Bybit,MEXC,PERP,PERP,1.2483,2.0733,0.3755,0.5379396514682401,0.5313113203151829,55.19,0.075,0.075,0.623,0.34,0.773,0.0,2026-04-04T18:25:40.855988+00:00,2026-04-04T18:39:52.762144+00:00,dynamic_exit,14.2
62,DRIFTUSDT,Gate.io,MEXC,PERP,PERP,0.9219,2.3652,0.3674,0.035145462583335216,0.0348247215572804,161.19,0.085,0.085,-0.2379,-0.38,-0.0679,0.0,2026-04-04T18:25:41.209018+00:00,2026-04-04T18:31:33.155241+00:00,dynamic_exit,5.9
63,SIRENUSDT,Bybit,Binance,PERP,PERP,0.8761,1.188,0.2026,0.5375408212133636,0.5328738643979449,199.21,0.1,0.1,0.4436,0.88,0.6436,0.0,2026-04-04T18:25:41.500247+00:00,2026-04-04T18:27:38.085287+00:00,dynamic_exit,1.9
64,POLYXUSDT,Gate.io,Binance,PERP,PERP,0.9636,1.5431,1.0678,0.05231155682336956,0.05181252943921402,199.21,0.11,0.11,-0.404,-0.8,-0.184,0.0,2026-04-04T18:25:41.773458+00:00,2026-04-04T20:25:52.545825+00:00,timeout,120.2
65,DRIFTUSDT,Gate.io,MEXC,PERP,SPOT,2.4928,6.2885,5.4595,0.03518672357001621,0.03433171008918522,143.65,0.115,0.115,-3.9673,-5.7,-3.7373,0.0,2026-04-04T18:25:46.735696+00:00,2026-04-04T20:06:51.652499+00:00,stop_loss,101.1
66,SIRENUSDT,Bybit,MEXC,PERP,PERP,0.9622,2.0733,0.3755,0.5381366322246932,0.533013714914356,23.07,0.075,0.075,0.2279,0.05,0.3779,0.0,2026-04-04T18:25:47.324293+00:00,2026-04-04T18:39:53.566987+00:00,dynamic_exit,14.1
67,DRIFTUSDT,Gate.io,MEXC,PERP,PERP,1.0516,2.3652,0.3674,0.03518899293993515,0.034823098306013205,143.92,0.085,0.085,-0.0191,-0.03,0.1509,0.0,2026-04-04T18:25:47.649332+00:00,2026-04-04T18:31:33.479369+00:00,dynamic_exit,5.8
68,DRIFTUSDT,Gate.io,BingX,PERP,PERP,1.0098,1.4236,0.2836,0.0351977759643693,0.034846015267882016,139.29,0.115,0.115,0.2986,0.42,0.5286,0.0,2026-04-04T18:25:48.412958+00:00,2026-04-04T18:37:23.699721+00:00,dynamic_exit,11.6
69,POLYXUSDT,Gate.io,Binance,PERP,PERP,0.8643,1.5431,1.0678,0.05230995058511994,0.05186218877006291,198.95,0.11,0.11,-0.5031,-1.0,-0.2831,0.0,2026-04-04T18:25:48.718955+00:00,2026-04-04T20:25:52.892495+00:00,timeout,120.1
70,POLYXUSDT,Bybit,Binance,PERP,PERP,0.775,1.0254,0.7311,0.0522479517901504,0.051846312465987685,198.95,0.1,0.1,-0.1859,-0.37,0.0141,0.0,2026-04-04T18:25:49.257046+00:00,2026-04-04T20:25:53.202128+00:00,timeout,120.1
71,POLYXUSDT,Gate.io,BingX,PERP,PERP,0.8608,1.8039,1.097,0.0523534068815754,0.05190674656750419,61.26,0.115,0.115,-0.6758,-0.41,-0.4458,0.0,2026-04-04T18:25:49.550944+00:00,2026-04-04T20:25:53.504316+00:00,timeout,120.1
72,POLYXUSDT,Gate.io,MEXC,PERP,PERP,0.8459,1.5814,1.0678,0.05234335857916584,0.0519044331864514,78.19,0.085,0.085,-0.6099,-0.48,-0.4399,0.0,2026-04-04T18:25:50.145714+00:00,2026-04-04T20:25:53.828550+00:00,timeout,120.1
73,DRIFTUSDT,Gate.io,MEXC,PERP,PERP,0.986,2.3652,0.3674,0.03516102753202839,0.034817885528253115,134.2,0.085,0.085,-0.0785,-0.11,0.0915,0.0,2026-04-04T18:25:56.275655+00:00,2026-04-04T18:31:33.826044+00:00,dynamic_exit,5.6
74,DRIFTUSDT,Gate.io,Binance,PERP,PERP,1.0207,1.3352,0.0283,0.035173901839897645,0.03481868471060324,53.94,0.11,0.11,0.4616,0.25,0.6816,0.0,2026-04-04T18:25:56.566166+00:00,2026-04-04T18:38:03.189125+00:00,convergence,12.1
75,DRIFTUSDT,Gate.io,BingX,PERP,PERP,0.936,1.3817,0.2836,0.03516269910295978,0.03483675504936977,159.31,0.115,0.115,0.2079,0.33,0.4379,0.0,2026-04-04T18:25:56.854576+00:00,2026-04-04T18:37:24.008943+00:00,dynamic_exit,11.5
76,SIRENUSDT,Bybit,MEXC,PERP,PERP,1.0528,2.0733,0.3755,0.5357623925966201,0.5301832772718484,57.1,0.075,0.075,0.4326,0.25,0.5826,0.0,2026-04-04T18:25:57.166353+00:00,2026-04-04T18:39:53.864427+00:00,dynamic_exit,13.9
77,POLYXUSDT,Gate.io,Binance,PERP,PERP,0.9496,1.5431,1.0483,0.052321783748183116,0.051829805423696015,156.06,0.11,0.11,-0.3969,-0.62,-0.1769,0.0,2026-04-04T18:25:57.465770+00:00,2026-04-04T20:26:03.346638+00:00,timeout,120.1
78,DRIFTUSDT,Binance,MEXC,PERP,SPOT,1.3937,3.4746,3.2682,0.03478393949933028,0.03430597514150536,124.26,0.095,0.095,-2.3611,-2.93,-2.1711,0.0,2026-04-04T18:25:57.791442+00:00,2026-04-04T19:22:33.504219+00:00,stop_loss,56.6
79,POLYXUSDT,Gate.io,BingX,PERP,PERP,0.8004,1.8039,1.0872,0.05232373673482214,0.05190842023510849,198.92,0.115,0.115,-0.7339,-1.46,-0.5039,0.0,2026-04-04T18:25:58.088154+00:00,2026-04-04T20:26:03.912934+00:00,timeout,120.1
80,POLYXUSDT,Bybit,Binance,PERP,PERP,0.7977,1.0254,0.7501,0.05224569832890124,0.05183241677600008,198.92,0.1,0.1,-0.1705,-0.34,0.0295,0.0,2026-04-04T18:25:58.364531+00:00,2026-04-04T20:26:04.348506+00:00,timeout,120.1
81,DRIFTUSDT,Gate.io,MEXC,PERP,PERP,0.9051,2.3652,0.3674,0.03513369170895686,0.03481872475664051,139.67,0.085,0.085,-0.163,-0.23,0.007,0.0,2026-04-04T18:26:04.672031+00:00,2026-04-04T18:31:34.167822+00:00,dynamic_exit,5.5
82,DRIFTUSDT,Gate.io,Binance,PERP,PERP,0.8787,1.3352,0.0283,0.03512931535253768,0.0348235797795953,139.67,0.11,0.11,0.2968,0.41,0.5168,0.0,2026-04-04T18:26:05.279272+00:00,2026-04-04T18:38:03.469425+00:00,convergence,12.0
83,POLYXUSDT,Gate.io,Binance,PERP,PERP,0.8914,1.5431,1.0769,0.0523108849717678,0.05184908209190651,198.9,0.11,0.11,-0.4761,-0.95,-0.2561,0.0,2026-04-04T18:26:05.570565+00:00,2026-04-04T20:26:14.133191+00:00,timeout,120.1
84,DRIFTUSDT,Gate.io,BingX,PERP,PERP,0.8993,1.3817,0.2836,0.03514209635537247,0.03482904455659926,104.64,0.115,0.115,0.208,0.22,0.438,0.0,2026-04-04T18:26:05.877824+00:00,2026-04-04T18:37:24.311510+00:00,dynamic_exit,11.3
85,SIRENUSDT,Gate.io,Binance,PERP,PERP,1.5607,2.8469,0.6588,0.54862050999031,0.5401971807745354,10.5,0.11,0.11,0.1876,0.02,0.4076,0.0,2026-04-04T18:30:17.191346+00:00,2026-04-04T18:44:59.314030+00:00,dynamic_exit,14.7
86,SIRENUSDT,Gate.io,Binance,PERP,PERP,1.5708,2.8469,0.6588,0.543407808263463,0.535007892680261,10.58,0.11,0.11,0.2013,0.02,0.4213,0.0,2026-04-04T18:32:47.321201+00:00,2026-04-04T18:44:59.623073+00:00,dynamic_exit,12.2
87,POLYXUSDT,Gate.io,Binance,PERP,PERP,1.1649,1.5431,1.0356,0.05247227945993845,0.05186828034633423,49.38,0.11,0.11,-0.1299,-0.06,0.0901,0.0,2026-04-04T18:32:48.136599+00:00,2026-04-04T20:32:51.793090+00:00,timeout,120.1
88,USTCUSDT,Binance,Bitget,PERP,SPOT,2.1081,3.2284,0.0338,0.004390216729908386,0.004299621637732101,173.39,0.145,0.145,1.9801,3.43,2.2701,0.0,2026-04-04T18:32:48.433120+00:00,2026-04-04T18:43:53.116749+00:00,convergence,11.1
