vol_240m,vol_60m,vol_15m,vol_5m,trend_240m,trend_60m,trend_15m,trend_5m,momentum_15m,momentum_60m,vol_ratio_30v210,vol_ratio_5v30,range_60m,range_15m,up_pct_60m,up_pct_15m,dist_ma60,dist_ma240,abs_vol_60m,avg_candle_size_5m,vol_spike_15m,consec_direction,symbol,entry_time,tier,net_pnl_usd,entry_spread_pct,n_candles
0.46543129733330885,0.5258308177085904,0.5091078454550637,0.40404040404040437,2.0408163265306136,2.0408163265306136,3.0927835051546415,0.0,5.112985525356663,2.0408163265306136,9.6826866901729,3.880699521084996,5.999999999999991,4.99999999999999,91.66666666666666,100.0,1.7984390906006391,1.699224543412867,0.917441861866019,0.40000000000000036,19.31122454922,20,PHBUSDT,2026-04-05T12:59:22.052424+00:00,big_winner,3.95,2.3936,240
0.16286871435975067,0.15405863355957844,0.17599050769662092,0.17812926880386742,1.6597510373443882,0.30706243602864425,-0.44023027429733264,-0.16977928692699507,-1.053518178897,-0.2763280924545523,0.7727756823678984,0.54278346807365,1.5306122448979607,0.5442176870748267,68.33333333333333,73.33333333333333,0.18628742787042643,0.8403361344537843,0.3608227312786476,0.027187785131031122,4.703971167704107,-1,FTTUSDT,2026-04-05T11:07:38.070411+00:00,big_winner,2.29,1.089,240
0.8746059452720103,1.6513055728225252,3.23880544978151,1.9027050863190835,5.097451274362819,1.59420289855071,0.2861230329041371,-8.12581913499346,-2.963507690877263,1.4490650175637683,21.7504099542239,1.4738878787202652,39.37232524964337,39.229671897289585,65.0,53.333333333333336,0.10948731375256247,2.389950886417983,4.921673868658302,1.9405312019218868,8.765655945810087,-5,NEWTUSDT,2026-04-06T18:20:39.224962+00:00,big_winner,3.64,1.5981,240
0.2838222668948232,0.47051263998993337,0.8033793183701207,1.1511559410850545,-1.0303208713570888,4.215747055176675,5.7676174496644315,5.0296782255545045,6.907986514561805,5.932005814189563,7.387848809376592,2.146171885769801,6.295855641483246,5.889351576442584,48.333333333333336,73.33333333333333,4.753150851391969,2.075506626617528,0.9210409222131835,0.9909186305290225,8.061813262215187,5,BANANAS31USDT,2026-04-06T09:17:06.017826+00:00,big_winner,4.34,1.9268,240
0.3737584147688996,0.497776093643774,0.8660305818125509,1.2930195922701773,10.176678445229685,7.665745856353591,6.416382252559726,5.12474713418746,6.620741925584252,7.319245509853246,1.7574765599045694,5.212423425845909,8.146247594611921,6.735086593970487,63.33333333333333,80.0,6.180827515750045,7.90918739329056,1.1312009588521588,0.9607590857101952,28.059102106352082,4,GUNUSDT,2026-04-06T21:54:53.952030+00:00,big_winner,7.24,3.1989,240
0.5187684767156389,0.8650462229325778,1.546132440158563,1.682305160040333,13.939393939393938,11.904761904761916,9.941520467836257,8.357348703170029,8.155806182121962,12.201497809806435,31.992207460249652,1.8144556976932473,12.49999999999999,11.170212765957434,91.66666666666666,66.66666666666666,10.210063507572071,11.636192691194305,2.6854372932766783,1.7603633915869128,8.44650213757095,4,NILUSDT,2026-04-06T17:38:11.407596+00:00,big_winner,7.73,2.4427,240
0.42007508710159697,0.7603060409558704,1.3314444951166802,1.655736785964906,15.672306322350838,11.406518010291588,10.271646859083178,8.069883527454232,9.415482475521534,10.103303414288112,6.910235083037098,4.665797230049698,12.31716705157815,11.701308698999235,66.66666666666666,66.66666666666666,10.024139245330948,12.727391063815933,1.9568869646038174,2.004712713033924,15.220668400990075,3,MMTUSDT,2026-04-05T12:09:14.330364+00:00,big_winner,4.72,1.9993,240
0.8600172370159226,1.624414491059031,1.670972074858588,1.7759626870418903,29.720279720279724,26.62116040955632,-4.134366925064593,2.770083102493077,-18.971162177290104,24.53056807506155,8.567117837264812,0.722968427422783,25.336927223719673,9.433962264150933,65.0,33.33333333333333,9.606578364271998,22.675043399189875,9.040920964784567,1.3611125425795145,2.616359457278433,1,BANKUSDT,2026-04-06T17:29:51.793751+00:00,big_winner,4.62,2.6738,240
0.5082120353904633,0.97164278420711,0.7911284186612845,0.4298537347496748,13.786008230452683,9.722222222222225,-1.688888888888888,0.8204193254329972,-3.4067912397026308,7.5945626477541355,7.929261772551011,0.2911112784316809,16.455696202531637,5.424954792043405,66.66666666666666,46.666666666666664,2.7006113131625904,9.56009212557475,4.634250011813376,0.25385788759788613,1.0982652034517593,2,SUPERUSDT,2026-04-06T11:52:37.651823+00:00,big_winner,3.06,1.4969,240
0.17192059298489124,0.325093645249182,0.6256988115619481,0.9907306336050745,2.7366020524515386,2.5028441410693896,2.5028441410693896,2.6195899772209525,2.388948924668475,2.388948924668475,126.14114197695771,5.920398114736528,4.883462819089901,4.772475027746946,100.0,100.0,2.5378399908956526,2.663925670254295,0.33779041947549376,0.4661487236404006,58.32287961206791,20,1INCHUSDT,2026-04-05T00:00:06.428392+00:00,big_winner,2.9,2.1829,240
0.49918253047572736,0.9711537626417462,1.8595789995815175,2.6482289268481565,11.71648987463837,11.770381090207435,7.1197411003236235,6.0411899313501065,2.7278492084317256,12.441200448137485,139.69090509510042,2.701238404862269,14.199395770392757,12.47302546396202,83.33333333333334,66.66666666666666,9.971126844124527,11.24737175883599,2.760985745648289,1.9364327125662446,10.363983152836436,-1,OGNUSDT,2026-04-05T21:28:30.168929+00:00,big_winner,2.62,1.8524,240
